Recorder,StartTime,EndTime,StartTemp,EndTemp,SheetName,Year,species,1,2,3,4,5,6,7,8,9,10,E
Matt Berry,13:38,14:28,72,74,26-May-05,2005,Spring Azure,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,15:44,16:44,72,74,1-Jun-05,2005,Bronze Copper,1,0,0,0,0,0,0,0,0,0,0
Matt Berry,15:44,16:44,72,74,1-Jun-05,2005,Cabbage White,0,0,0,0,0,0,0,0,2,0,0
Matt Berry,15:44,16:44,72,74,1-Jun-05,2005,Eastern Tiger Swallowtail,0,0,0,0,1,0,0,0,0,0,0
Matt Berry,15:44,16:44,72,74,1-Jun-05,2005,Little Wood Satyr,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,15:44,16:44,72,74,1-Jun-05,2005,Orange Sulphur,0,0,0,0,0,0,0,0,1,0,0
Matt Berry,15:44,16:44,72,74,1-Jun-05,2005,Pearl Crescent,1,0,0,0,0,0,0,0,0,0,0
Matt Berry,15:44,16:44,72,74,1-Jun-05,2005,Viceroy,0,0,0,0,0,0,0,2,1,0,0
Matt Berry,15:44,16:44,72,74,1-Jun-05,2005,Zabulon Skipper,0,0,0,0,0,1,0,0,0,0,0
Matt Berry,13:48,14:40,84,86,9-Jun-05,2005,Cabbage White,4,1,0,0,1,0,3,2,0,0,1
Matt Berry,13:48,14:40,84,86,9-Jun-05,2005,Little Wood Satyr,0,0,0,0,0,0,1,0,0,0,0
Matt Berry,13:48,14:40,84,86,9-Jun-05,2005,Orange Sulphur,1,0,0,0,0,0,0,0,2,0,0
Matt Berry,13:48,14:40,84,86,9-Jun-05,2005,Painted Lady,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,13:48,14:40,84,86,9-Jun-05,2005,Pearl Crescent,0,0,0,0,1,0,0,0,0,0,0
Matt Berry,13:48,14:40,84,86,9-Jun-05,2005,Spring Azure,0,0,0,0,0,0,0,4,0,0,0
Matt Berry,13:48,14:40,84,86,9-Jun-05,2005,Viceroy,3,0,0,0,0,0,0,1,0,0,0
Matt Berry,13:48,14:40,84,86,9-Jun-05,2005,Zabulon Skipper,1,0,1,0,0,0,0,0,0,0,0
Matt Berry,15:35,16:14,72,73,17-Jun-05,2005,Cabbage White,3,0,0,1,1,0,0,7,0,0,2
Matt Berry,15:35,16:14,72,73,17-Jun-05,2005,Eastern Tailed Blue,1,0,0,0,0,0,0,0,0,0,0
Matt Berry,15:35,16:14,72,73,17-Jun-05,2005,Least Skipper,0,0,1,0,0,0,0,0,0,0,0
Matt Berry,15:35,16:14,72,73,17-Jun-05,2005,Little Wood Satyr,0,0,0,0,0,0,1,0,0,0,0
Matt Berry,15:35,16:14,72,73,17-Jun-05,2005,Spring Azure,0,0,0,0,0,0,1,3,0,0,0
Matt Berry,15:35,16:14,72,73,17-Jun-05,2005,Viceroy,1,0,0,0,0,0,0,0,0,0,0
Matt Berry,14:40,15:19,78,80,23-Jun-05,2005,Cabbage White,2,0,2,1,1,0,0,2,5,0,3
Matt Berry,14:40,15:19,78,80,23-Jun-05,2005,Eastern Tailed Blue,1,0,0,0,0,0,0,0,1,0,0
Matt Berry,14:40,15:19,78,80,23-Jun-05,2005,Least Skipper,0,0,0,0,0,0,2,1,0,0,0
Matt Berry,14:40,15:19,78,80,23-Jun-05,2005,Monarch,0,0,0,0,0,1,0,0,0,0,0
Matt Berry,14:40,15:19,78,80,23-Jun-05,2005,Red Admiral,1,0,0,0,0,0,0,0,0,0,0
Matt Berry,14:40,15:19,78,80,23-Jun-05,2005,Spring Azure,0,0,2,0,0,0,0,0,0,0,0
Matt Berry,15:21,12:51,81,82,1-Jul-05,2005,Cabbage White,0,0,0,3,1,1,0,1,0,0,0
Matt Berry,15:21,12:51,81,82,1-Jul-05,2005,Common Wood Nymph,0,0,0,0,0,0,0,0,0,0,1
Matt Berry,15:21,12:51,81,82,1-Jul-05,2005,Eastern Tailed Blue,2,0,0,1,0,0,0,1,0,1,0
Matt Berry,15:21,12:51,81,82,1-Jul-05,2005,Orange Sulphur,1,0,0,0,0,0,0,1,0,0,0
Matt Berry,15:21,12:51,81,82,1-Jul-05,2005,Pearl Crescent,1,0,0,0,0,0,0,2,0,0,0
Matt Berry,14:26,15:17,77,77,7-Jul-05,2005,Cabbage White,0,0,1,0,0,0,1,1,1,0,0
Matt Berry,14:26,15:17,77,77,7-Jul-05,2005,Eastern Tailed Blue,0,0,0,1,0,0,1,0,0,0,1
Matt Berry,14:26,15:17,77,77,7-Jul-05,2005,Gray Hairstreak,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,14:26,15:17,77,77,7-Jul-05,2005,Least Skipper,0,0,0,0,0,1,0,0,0,0,0
Matt Berry,14:26,15:17,77,77,7-Jul-05,2005,Orange Sulphur,1,0,0,0,0,0,0,0,0,0,0
Matt Berry,14:26,15:17,77,77,7-Jul-05,2005,Pearl Crescent,0,0,0,0,0,0,0,5,4,2,0
Matt Berry,14:26,15:17,77,77,7-Jul-05,2005,Summer Azure,0,0,0,0,0,1,0,0,0,0,0
Matt Berry,14:26,15:17,77,77,7-Jul-05,2005,Viceroy,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,14:36,15:12,75,75,14-Jul-05,2005,Cabbage White,1,0,0,0,4,4,3,2,0,0,0
Matt Berry,14:36,15:12,75,75,14-Jul-05,2005,Eastern Tailed Blue,1,0,0,0,0,0,0,0,0,0,2
Matt Berry,14:36,15:12,75,75,14-Jul-05,2005,Eastern Tiger Swallowtail,1,0,0,0,0,0,0,0,0,0,0
Matt Berry,14:36,15:12,75,75,14-Jul-05,2005,Monarch,2,0,0,0,0,0,0,0,0,0,0
Matt Berry,14:36,15:12,75,75,14-Jul-05,2005,Pearl Crescent,4,0,0,0,3,1,0,2,1,0,1
Matt Berry,14:36,15:12,75,75,14-Jul-05,2005,Summer Azure,0,0,0,0,0,0,1,2,0,1,0
Matt Berry,14:36,15:12,75,75,14-Jul-05,2005,Viceroy,0,0,0,0,1,0,0,0,0,0,0
Matt Berry,14:36,15:12,75,75,14-Jul-05,2005,Zabulon Skipper,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,14:00,14:40,85,85,21-Jul-05,2005,Black Swallowtail,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,14:00,14:40,85,85,21-Jul-05,2005,Common Wood Nymph,0,0,0,0,0,0,1,0,0,0,0
Matt Berry,14:00,14:40,85,85,21-Jul-05,2005,Eastern Tailed Blue,5,1,1,0,2,0,0,2,1,0,1
Matt Berry,14:00,14:40,85,85,21-Jul-05,2005,Monarch,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,14:00,14:40,85,85,21-Jul-05,2005,Pearl Crescent,3,2,1,0,0,1,0,2,0,0,0
Matt Berry,14:00,14:40,85,85,21-Jul-05,2005,Viceroy,0,0,0,0,0,0,0,2,0,0,0
Matt Berry,13:45,14:30,78,77,28-Jul-05,2005,Cabbage White,0,0,0,4,1,0,1,0,0,0,0
Matt Berry,13:45,14:30,78,77,28-Jul-05,2005,Clouded Sulphur,1,0,0,0,0,0,0,0,0,0,0
Matt Berry,13:45,14:30,78,77,28-Jul-05,2005,Eastern Tailed Blue,4,0,2,0,2,1,2,5,2,3,3
Matt Berry,13:45,14:30,78,77,28-Jul-05,2005,Eastern Tiger Swallowtail,0,0,0,0,0,0,1,0,0,0,0
Matt Berry,13:45,14:30,78,77,28-Jul-05,2005,Least Skipper,0,0,0,0,0,1,0,0,0,0,0
Matt Berry,13:45,14:30,78,77,28-Jul-05,2005,Monarch,2,0,0,0,0,0,1,0,0,0,0
Matt Berry,13:45,14:30,78,77,28-Jul-05,2005,Orange Sulphur,2,0,0,0,0,0,0,0,0,0,0
Matt Berry,13:45,14:30,78,77,28-Jul-05,2005,Pearl Crescent,1,0,0,0,0,2,1,0,0,0,3
Matt Berry,13:45,14:30,78,77,28-Jul-05,2005,Viceroy,0,0,0,1,0,0,0,0,0,0,0
Matt Berry,13:48,14:28,94,94,4-Aug-05,2005,Cabbage White,0,0,0,1,0,1,4,0,0,0,0
Matt Berry,13:48,14:28,94,94,4-Aug-05,2005,Eastern Tailed Blue,6,1,5,1,2,5,2,3,3,2,1
Matt Berry,13:48,14:28,94,94,4-Aug-05,2005,Eastern Tiger Swallowtail,0,0,0,1,0,0,0,0,0,0,0
Matt Berry,13:48,14:28,94,94,4-Aug-05,2005,Monarch,0,0,1,1,3,0,1,0,0,0,0
Matt Berry,13:48,14:28,94,94,4-Aug-05,2005,Pearl Crescent,0,0,0,0,0,0,1,0,0,0,2
Matt Berry,13:48,14:28,94,94,4-Aug-05,2005,Silver-spotted Skipper,0,0,0,0,0,0,0,0,0,0,1
"Matt Berry, Janelle Taylor",13:42,14:25,82,86,11-Aug-05,2005,Cabbage White,0,0,0,0,0,1,2,0,0,0,0
"Matt Berry, Janelle Taylor",13:42,14:25,82,86,11-Aug-05,2005,Eastern Tailed Blue,3,1,1,0,2,0,4,6,1,1,4
"Matt Berry, Janelle Taylor",13:42,14:25,82,86,11-Aug-05,2005,Eastern Tiger Swallowtail,0,0,0,1,2,0,0,1,1,0,0
